episode,episode_reward,step
1000.0,0.0,1000
2000.0,0.0,2000
3000.0,0.0,3000
4000.0,0.0,4000
5000.0,3.0,5000
6000.0,7.0,6000
7000.0,4.0,7000
8000.0,23.0,8000
9000.0,18.0,9000
10000.0,23.0,10000
11000.0,23.0,11000
12000.0,17.0,12000
13000.0,28.0,13000
14000.0,43.333333333333336,14000
15000.0,28.0,15000
16000.0,28.0,16000
17000.0,92.33333333333333,17000
18000.0,28.0,18000
19000.0,28.0,19000
20000.0,40.333333333333336,20000
21000.0,34.0,21000
22000.0,28.0,22000
23000.0,28.0,23000
24000.0,343.3333333333333,24000
25000.0,46.666666666666664,25000
26000.0,168.0,26000
27000.0,352.0,27000
28000.0,56.0,28000
29000.0,28.0,29000
30000.0,28.0,30000
31000.0,28.0,31000
32000.0,43.333333333333336,32000
33000.0,32.0,33000
34000.0,28.0,34000
35000.0,28.0,35000
36000.0,67.33333333333333,36000
37000.0,58.333333333333336,37000
38000.0,31.333333333333332,38000
39000.0,23.0,39000
40000.0,65.33333333333333,40000
