episode,episode_reward,step
1000.0,0.0,1000
2000.0,0.0,2000
3000.0,0.0,3000
4000.0,0.0,4000
5000.0,11.0,5000
6000.0,3.0,6000
7000.0,12.0,7000
8000.0,12.0,8000
9000.0,12.0,9000
10000.0,12.0,10000
11000.0,15.0,11000
12000.0,12.0,12000
13000.0,18.0,13000
14000.0,18.0,14000
15000.0,18.0,15000
16000.0,18.0,16000
17000.0,18.0,17000
18000.0,18.0,18000
19000.0,18.0,19000
20000.0,18.0,20000
21000.0,20.0,21000
22000.0,127.0,22000
23000.0,20.0,23000
24000.0,132.0,24000
25000.0,18.0,25000
26000.0,18.0,26000
27000.0,23.0,27000
28000.0,18.0,28000
29000.0,18.0,29000
30000.0,37.0,30000
31000.0,18.0,31000
32000.0,18.0,32000
33000.0,18.0,33000
34000.0,18.0,34000
35000.0,18.0,35000
36000.0,18.0,36000
37000.0,18.0,37000
38000.0,18.0,38000
39000.0,18.0,39000
40000.0,18.0,40000
