episode,episode_reward,step
1000.0,0.0,1000
2000.0,0.0,2000
3000.0,0.0,3000
4000.0,0.0,4000
5000.0,32.0,5000
6000.0,35.0,6000
7000.0,27.333333333333332,7000
8000.0,18.0,8000
9000.0,18.0,9000
10000.0,26.0,10000
11000.0,32.0,11000
12000.0,18.0,12000
13000.0,18.0,13000
14000.0,83.33333333333333,14000
15000.0,38.0,15000
16000.0,38.0,16000
17000.0,35.0,17000
18000.0,38.0,18000
19000.0,392.0,19000
20000.0,304.0,20000
21000.0,9.0,21000
22000.0,23.0,22000
23000.0,150.0,23000
24000.0,35.0,24000
25000.0,35.0,25000
26000.0,485.0,26000
27000.0,446.0,27000
28000.0,446.0,28000
29000.0,446.0,29000
30000.0,485.0,30000
31000.0,460.0,31000
32000.0,446.0,32000
33000.0,460.0,33000
34000.0,446.0,34000
35000.0,446.0,35000
36000.0,401.0,36000
37000.0,460.0,37000
38000.0,460.0,38000
39000.0,411.0,39000
40000.0,460.0,40000
