episode,episode_reward,step
20.0,0.0,10000
40.0,12.0,20000
60.0,18.0,30000
80.0,20.0,40000
100.0,23.0,50000
120.0,21.0,60000
140.0,29.0,70000
160.0,259.0,80000
180.0,28.0,90000
200.0,96.0,100000
220.0,56.0,110000
240.0,270.0,120000
260.0,81.0,130000
280.0,179.0,140000
300.0,28.0,150000
320.0,362.0,160000
340.0,354.0,170000
360.0,105.0,180000
380.0,382.0,190000
400.0,371.0,200000
420.0,31.0,210000
440.0,143.0,220000
460.0,286.0,230000
480.0,193.0,240000
500.0,327.0,250000
520.0,358.0,260000
540.0,338.0,270000
560.0,306.0,280000
580.0,330.0,290000
600.0,362.0,300000
620.0,321.0,310000
640.0,365.0,320000
660.0,117.0,330000
680.0,392.0,340000
700.0,372.0,350000
720.0,395.0,360000
740.0,303.0,370000
760.0,361.0,380000
780.0,96.0,390000
800.0,67.0,400000
820.0,352.0,410000
840.0,353.0,420000
860.0,135.0,430000
880.0,76.0,440000
900.0,52.0,450000
920.0,63.0,460000
940.0,404.0,470000
960.0,368.0,480000
980.0,335.0,490000
1000.0,337.0,500000
1020.0,301.0,510000
1040.0,371.0,520000
1060.0,318.0,530000
1080.0,326.0,540000
1100.0,87.0,550000
1120.0,37.0,560000
1140.0,81.0,570000
1160.0,376.0,580000
1180.0,236.0,590000
1200.0,265.0,600000
